0,0,NaN,2021-04-06,2021-04-18,2021-04-30,2021-05-12,2021-05-24,2021-06-05,2021-06-17,2021-06-29,2021-07-11,2021-07-23,2021-08-04,2021-08-16,2021-08-28,2021-09-09,2021-09-21,2021-10-03,2021-10-15,2021-10-27,2022-04-01,2022-04-13,2022-04-25,2022-05-07,2022-05-19,2022-05-31,2022-06-12,2022-07-06,2022-07-18,2022-07-30,2022-08-11,2022-08-23,2022-09-04,2022-09-16,2022-09-28,2022-10-10,2022-10-22,2023-04-08,2023-04-20,2023-05-02,2023-05-14,2023-05-26,2023-06-07,2023-06-19,2023-07-01,2023-07-13,2023-07-25,2023-08-06,2023-08-18,2023-08-30,2023-09-11,2023-09-23,2023-10-05,2023-10-17
49.10783,55.80239,-7.332917,10.78275,8.619025,8.871357,6.856472,9.121698,8.415854,8.44971,7.562035,7.960482,7.106658,5.359684,5.593607,5.520192,5.572576,5.064726,3.866668,5.370936,2.598327,0.3051678,-2.12452,0.372761,-1.758465,-0.1791999,-0.607628,-0.6436778,-0.5500989,-2.108162,0.008630496,-1.990061,-3.945481,-2.891691,-1.351002,1.872201,-0.4007687,-2.804827,-4.143646,-4.380896,-4.83949,-3.939102,-8.137596,-5.384508,-7.772831,-7.921484,-8.032348,-7.407495,-9.850145,-12.18761,-8.086908,-9.350693,-10.36045,-11.94324,-11.23103
49.10775,55.8024,-5.702486,10.208,6.439983,6.76579,4.300625,6.270766,5.4978,7.165636,6.108694,6.416392,6.487099,4.477318,5.296726,4.327334,5.695704,4.402843,3.013953,3.495853,2.772962,0.3341951,-4.186978,-0.3179345,-3.787286,-0.1331789,-2.138494,-2.155925,0.05165463,-1.290007,1.220144,-1.652064,-3.366788,-0.9760317,0.3576497,0.4693888,-1.257068,-2.860308,-5.381442,-5.954397,-3.888502,-0.951382,-6.539994,-2.543089,-4.223833,-4.131842,-4.791801,-4.143737,-7.981697,-10.60184,-8.986891,-7.858023,-10.29739,-8.066204,-9.428905
49.10757,55.80242,-5.874042,13.46032,5.23275,5.886073,2.928399,8.955111,6.206321,6.471304,11.21083,9.519551,8.93492,5.197737,1.373303,-2.087688,7.994631,5.713104,5.904262,1.975151,6.978827,1.248258,0.7138115,0.8870487,-3.252938,-4.541198,-1.089532,0.7130201,-0.4738434,-1.976364,0.5822806,1.720073,-4.636331,-3.264117,-1.728509,-3.304052,-3.180352,-1.553641,-1.370429,-1.757713,-1.888793,-6.430651,-6.280623,-8.545614,-6.744139,-7.774168,-6.95349,-7.517675,-10.75331,-11.64944,-11.19161,-15.05651,10.51556,10.06774,-14.15787
49.10667,55.80252,-6.783061,6.366154,9.087657,8.232224,8.509983,7.737078,8.760083,5.217005,5.100508,9.301229,8.02268,3.677213,4.722829,2.716952,4.120573,7.504835,5.386948,4.125801,7.071005,-5.277112,-2.71405,1.187863,2.031972,-1.44857,-1.020202,-1.348891,-6.059671,-5.027993,-3.377849,-1.660039,-2.745693,-2.796242,4.754606,1.373614,-1.764022,1.989083,-1.619188,0.02094777,-1.111782,-5.510649,-5.384041,-6.28923,-4.584567,-6.695932,-6.498593,-9.00377,-6.250262,-11.82261,-11.8515,-11.23918,-13.19404,-10.95758,-8.536655
49.10658,55.8024,-7.612815,6.834225,12.67681,-14.72907,9.445953,11.14076,9.067974,7.849957,7.084535,8.227687,10.77869,6.711288,7.550848,5.134174,5.836972,8.125049,6.499746,6.226142,6.221612,-5.893112,-2.202517,0.7146292,2.012202,1.108909,1.040263,0.2700499,-4.215177,-2.440156,0.348975,0.3274138,-2.607276,-5.477881,-2.316915,-0.4766278,-1.85452,-0.194279,-2.196413,-2.195725,-7.283694,-5.097268,-4.413821,-4.477224,-6.053768,-7.414091,-6.456366,-10.21809,-9.238987,-13.45976,-12.21474,-14.67846,-12.39646,-10.43028,-8.288002
49.10577,55.80236,-6.238088,10.27627,5.083163,8.271887,7.029113,8.476002,8.119535,7.041015,9.078457,8.283454,7.442782,6.038942,4.697074,5.633937,5.791298,6.501936,4.509758,3.655059,1.751898,-11.24634,3.625832,-1.483177,-0.6803063,-0.09716433,-0.6653555,-1.57113,-2.764026,-1.414711,-3.383534,0.8316841,-7.912849,-2.756385,-3.522755,1.003903,-1.710883,-1.897057,-3.598886,-6.832798,-6.213839,-3.174052,-6.397447,-6.128056,-7.039818,-6.871159,-4.439631,-6.122264,-6.994575,-5.635221,-6.248171,-6.289183,-8.457464,-7.709487,-7.324975
49.10556,55.80226,-7.555145,-9.58046,6.058557,10.78411,10.94761,11.15706,11.33993,10.80579,11.04463,10.16714,6.464066,5.262886,8.37135,9.020607,5.623992,4.413715,3.503248,2.517457,2.796905,2.981445,-2.020091,0.7407767,-0.862348,-1.627307,0.4750831,-2.250881,-2.377122,-0.3027748,-0.146715,0.2215236,-1.474988,-1.848468,-3.860667,-2.65743,-4.581665,-4.398891,-5.20703,-4.941993,-5.348502,-6.5142,-4.203491,-4.788754,-5.787029,-6.543426,-7.969771,-9.777366,-7.183501,-8.870872,-9.697495,-11.40506,-9.983074,-11.36402,-11.59467
49.10551,55.80227,-6.834795,-10.21136,7.34448,11.1648,10.88824,8.465039,11.85686,11.12351,7.474012,9.454133,7.06495,5.641651,8.034116,8.442986,3.219293,4.352288,3.336464,2.419474,1.79954,3.560461,-3.472272,0.6014383,-2.756244,-3.602598,-0.5609356,-2.315223,-2.041308,-1.237375,-0.8191341,1.172559,-0.928438,-1.570353,-5.081679,-2.835254,-4.753194,-3.536833,-5.046199,-3.830587,-6.17828,-6.188057,-3.502945,-3.130155,-4.878249,-6.31181,-7.366532,-8.370223,-6.468328,-8.09254,-7.737525,-8.532494,-8.275335,-11.68683,-9.565993
49.10547,55.80227,-2.533582,-9.684249,14.69262,-9.831588,-13.69783,13.03907,-9.510643,-9.325541,9.233438,-12.87732,-13.74026,11.67579,13.15096,-13.17656,8.538264,9.131957,7.251351,7.236563,9.977392,1.076758,-0.2578504,2.622964,2.174421,-0.9835635,3.715579,1.106367,2.47273,2.637339,2.682611,4.202393,3.36888,-0.2293956,-1.480627,-0.1537844,-1.783929,-0.1399755,-1.715394,-2.251229,-2.68442,-3.283185,-1.379995,-4.041331,-3.544929,-2.622491,-5.115062,-4.08806,-3.740283,-3.550377,-6.015316,-6.004783,-5.950438,-8.685951,-6.964916
49.10538,55.80228,-3.694863,11.85678,11.46925,-12.49507,-10.69506,-12.58339,-11.21702,-12.06617,12.44832,-10.8604,11.2983,12.03008,11.62088,12.87853,9.597997,9.888757,6.620369,3.769141,5.195061,8.315655,-1.883267,0.3818999,-2.07365,-3.489815,1.739274,2.346427,1.048079,1.057386,2.035701,2.396181,1.767891,0.4953305,-0.7567991,-1.621726,-2.125745,-1.455152,-1.187045,-4.059844,-1.568071,-4.512523,-2.81944,-4.836215,-3.248761,-3.340583,-5.552597,-7.100002,-4.22604,-4.317418,-6.532824,-7.142624,-6.911519,-10.78556,-8.402559
